Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
AXIN2,axin 2,8313,17:65528563-65561647,1,Yes,24.1,yes,yes,"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma",colorectal carcinoma,oligodontia-colorectal cancer syndrome,E,Rec,TSG,"Mis, F, N",,,,"8313,AXIN2,DKFZp781B0869,ENSG00000168646.12,MGC126582,Q9Y2T1"
B2M,beta-2-microglobulin,567,15:44711477-44718877,1,Yes,21.1,yes,,"DLBCL, melanoma, colorectal adenocarcinoma",,,"E, L",Rec,TSG,"Mis, N, F",,yes,Immunodeficiency 43,"567,B2M,ENSG00000166710.17,P61769"
BAP1,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase),8314,3:52401013-52410350,1,Yes,21.1,yes,yes,"uveal melanoma, breast, NSCLC, RCC","mesothelioma, skin and uveal melanoma, kidney cancer",BAP1 tumor predisposition syndrome,E,Rec,TSG,"N, Mis, F, S, O",,,,"8314,BAP1,ENSG00000163930.9,KIAA0272,Q92560,UCHL2,hucep-6"
BARD1,BRCA1 associated RING domain 1,580,2:214725646-214809704,1,Yes,35,yes,yes,breast cancer,"ovarian cancer, breast cancer, endometrioid cancer",,E,,TSG,Mis,,,,"580,BARD1,ENSG00000138376.10,Q99728"
BAX,"BCL2 associated X, apoptosis regulator",581,19:48954929-48961798,1,,13.33,yes,,colorectal cancer,,,E,,TSG,"F, Mis",,,,"581,BAX,BCL2L4,ENSG00000087088.19,Q07812"
BCL10,B-cell CLL/lymphoma 10,8915,1:85266248-85277090,1,Yes,22.3,yes,,MALT,,,L,Dom,"TSG, fusion",T,IGH,,,"8915,BCL10,CARMEN,CIPER,CLAP,ENSG00000142867.12,O95999,c-E10,mE10"
BCL11A,B-cell CLL/lymphoma 11A,53335,2:60457192-60555154,1,Yes,16.1,yes,,B-CLL,,,L,Dom,"oncogene, fusion",T,IGH,,,"53335,BCL11A,BCL11A-L,BCL11A-S,BCL11A-XL,CTIP1,ENSG00000119866.21,EVI9,HBFQTL5,ZNF856"
BCL11B,B-cell CLL/lymphoma 11B  (CTIP2),64919,14:99169287-99271228,1,Yes,32.2,yes,,T-ALL,,,L,Dom,"oncogene, TSG, fusion",T,TLX3,,,"64919,BCL11B,CTIP-2,CTIP2,ENSG00000127152.17,Q9C0K0,ZNF856B,hRIT1-alpha"
BCL2,B-cell CLL/lymphoma 2,596,18:63123346-63320128,1,,21.33,yes,,"NHL, CLL",,,L,Dom,"oncogene, fusion",T,IGH,,,"596,BCL2,Bcl-2,ENSG00000171791.12,P10415,PPP1R50"
BCL3,B-cell CLL/lymphoma 3,602,19:44748547-44760044,1,,13.32,yes,,CLL,,,L,Dom,"oncogene, fusion",T,IGH,,,"602,BCL3,BCL4,D19S37,ENSG00000069399.14,P20749"
BCL6,B-cell CLL/lymphoma 6,604,3:187721377-187745727,1,,27.3,yes,,"NHL, CLL",,,L,Dom,"oncogene, fusion","T, Mis","IG loci, ZNFN1A1, LCP1, PIM1, TFRC, CIITA, NACA, HSPCB, HSP90AA1, HIST1H4I, IL21R,  POU2AF1, RHOH, EIF4A2, SRSF3",,,"604,BCL5,BCL6,BCL6A,ENSG00000113916.17,LAZ3,P41182,ZBTB27,ZNF51"
BCL7A,B-cell CLL/lymphoma 7A,605,12:122019422-122062044,1,,24.31,yes,,BNHL,,,L,Dom,fusion,T,MYC,,,"605,BCL7,BCL7A,ENSG00000110987.8,Q4VC05"
BCL9,B-cell CLL/lymphoma 9,607,1:147541412-147626216,1,Yes,21.2,yes,,B-ALL,,,L,Dom,"oncogene, fusion",T,"IGH, IGL",,,"607,BCL9,ENSG00000116128.10,O00512"
BCL9L,B-cell CLL/lymphoma 9-like,283149,11:118893875-118910904,1,Yes,23.3,yes,,"colorectal cancer, endometrial carcinoma, gastric cancer",,,E,,"oncogene, TSG","Mis, F",,,,"283149,BCL9L,DLNB11,ENSG00000186174.12,Q86UU0"
BCOR,BCL6 corepressor,54880,X:40051248-40097403,1,Yes,11.4,yes,,"retinoblastoma, AML, APL (translocation)",,,"L, M",Rec,"TSG, fusion","F, N, S, T",RARA,yes,Oculo-facio-cardio-dental genetic,"54880,BCOR,ENSG00000183337.16,FLJ20285,KIAA1575,Q6W2J9"
BCORL1,BCL6 corepressor-like 1,63035,X:130005188-130058083,1,Yes,26.1,yes,,"AML, HNSCC",,,"E, L",,"oncogene, TSG","Mis, N, F",,,,"63035,BCORL1,CXorf10,ENSG00000085185.15,FLJ11362,Q5H9F3"
BCR,breakpoint cluster region,613,22:23180210-23318037,1,,11.23,yes,,"CML, ALL, AML",,,L,Dom,fusion,T,"ABL1,  FGFR1, JAK2",,,"613,ALL,BCR,BCR1,CML,D22S11,D22S662,ENSG00000186716.20,P11274,PHL"
BIRC3,baculoviral IAP repeat-containing 3,330,11:102317495-102337734,1,Yes,22.2,yes,,"CLL, MALT, MCL, MM",,,L,Dom,"oncogene, TSG, fusion","D, F, N, T, Mis",MALT1,,,"330,API2,BIRC3,ENSG00000023445.13,MALT2,MIHC,Q13489,RNF49,c-IAP2,cIAP2,hiap-1"
BLM,Bloom Syndrome,641,15:90717327-90816165,1,Yes,26.1,,yes,,"leukaemia, lymphoma, skin squamous cell, other tumour types",Bloom syndrome,"L, E",Rec,TSG,"Mis, N, F",,,,"641,BLM,BS,ENSG00000197299.10,P54132,RECQ2,RECQL3"
BMPR1A,"bone morphogenetic protein receptor, type IA",657,10:86756650-86932838,1,Yes,23.2,,yes,,gastrointestinal polyps,juvenile polyposis,E,Rec,"oncogene, TSG","Mis, N, F",,,,"657,ACVRLK3,ALK3,BMPR1A,CD292,ENSG00000107779.13,P36894"
BRAF,v-raf murine sarcoma viral oncogene homolog B1,673,7:140730665-140924928,1,Yes,34,yes,,"melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric",,,"E, O",Dom,"oncogene, fusion","Mis, T, O","AKAP9, KIAA1549, CEP88, LSM14A, SND1, FCHSD1, SLC45A3, FAM131B, RNF130, CLCN6, MKRN1, GNAI1, AGTRAP",yes,Cardio-facio-cutaneous syndrome,"673,BRAF,BRAF1,ENSG00000157764.13"
BRCA1,familial breast/ovarian cancer gene 1,672,17:43044295-43125483,1,Yes,21.31,yes,yes,ovarian,"breast, ovarian",hereditary breast/ovarian cancer,E,Rec,TSG,"D, Mis, N, F, S",,,,"672,BRCA1,BRCC1,ENSG00000012048.21,FANCS,P38398,PPP1R53,RNF53"
BRCA2,familial breast/ovarian cancer gene 2,675,13:32315474-32400266,1,Yes,13.1,yes,yes,"breast, ovarian, pancreatic","breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)",hereditary breast/ovarian cancer,"L, E",Rec,TSG,"D, Mis, N, F, S",,,,"675,BRCA2,BRCC2,ENSG00000139618.14,FACD,FAD,FAD1,FANCD,FANCD1,P51587,XRCC11"
BRD3,bromodomain containing 3,8019,9:134030305-134068017,1,,34.2,yes,,lethal midline carcinoma of young people,,,E,Dom,"oncogene, fusion",T,NUTM1,,,"8019,BRD3,ENSG00000169925.16,KIAA0043,ORFX,Q15059,RING3L"
BRD4,bromodomain containing 4,23476,19:15235519-15280451,1,Yes,13.12,yes,,lethal midline carcinoma of young people,,,E,Dom,"oncogene, fusion",T,NUTM1,,,"23476,BRD4,CAP,ENSG00000141867.17,HUNK1,HUNKI,MCAP,O60885"
BRIP1,BRCA1 interacting protein C-terminal helicase 1,83990,17:61681266-61863521,1,Yes,23.2,,yes,,"AML, leukaemia, breast","Fanconi anaemia J, breast cancer susceptiblity","L, E",Rec,TSG,"F, N, Mis",,,,"83990,BACH1,BRIP1,ENSG00000136492.8,FANCJ,OF,Q9BX63"
BTG1,"B-cell translocation gene 1, anti-proliferative",694,12:92140278-92145897,1,,21.33,yes,,B-CLL,,,L,Dom,"TSG, fusion",T,MYC,,,"694,APRO2,BTG1,ENSG00000133639.4,P62324"
BTK,Bruton agammaglobulinemia tyrosine kinase,695,X:101349447-101390796,1,Yes,22.1,yes,,"CLL, mantle cell lymphoma, WM",,,L,Dom,"oncogene, TSG",Mis,,yes,agammaglobulinemia,"695,AGMX1,ATK,BTK,ENSG00000010671.15,IMD1,PSCTK1,Q06187,XLA"
BUB1B,BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast),701,15:40161026-40221136,1,Yes,15.1,,yes,,rhabdomyosarcoma,mosaic variegated aneuploidy,M,Rec,TSG,"Mis, N, F, S",,,,"701,BUB1B,BUBR1,Bub1A,ENSG00000156970.12,MAD3L,O60566,SSK1"
CACNA1D,"calcium channel, voltage-dependent, L type, alpha 1D subunit",776,3:53495049-53813733,1,Yes,21.1,yes,,adrenal aldosterone producing adenoma,,,E,Dom,oncogene,Mis,,yes,"Syndrome featuring primary aldosteronism, seizures and neuromuscular disease.","776,CACH3,CACN4,CACNA1D,CACNL1A2,CCHL1A2,Cav1.3,ENSG00000157388.16,Q01668"
CALR,calreticulin,811,19:12938607-12944489,1,Yes,13.13,yes,,"MPN, MDS",,,L,Dom,oncogene,"F, Mis",,,,"811,CALR,CRT,ENSG00000179218.13,FLJ26680,P27797,RO,SSA,cC1qR"
CAMTA1,calmodulin binding transcription activator 1,23261,1:6785324-7769706,1,Yes,36.31,yes,,epithelioid haemangioendothelioma,,,M,Dom,"TSG, fusion",T,WWTR1,,,"23261,CAMTA1,ENSG00000171735.18,KIAA0833,Q9Y6Y1"
CANT1,calcium activated nucleotidase 1,124583,17:78991717-79009817,1,Yes,25.3,yes,,prostate,,,E,Dom,fusion,T,ETV4,,,"124583,CANT1,ENSG00000171302.16,Q8WVQ1,SCAN-1,SHAPY"
CARD11,"caspase recruitment domain family, member 11",84433,7:2906141-3043945,1,Yes,22.2,yes,,DLBCL,,,L,Dom,oncogene,Mis,,,,"84433,BIMP3,CARD11,CARMA1,ENSG00000198286.9,Q9BXL7"
CARS,cysteinyl-tRNA synthetase,833,11:3000922-3057437,1,Yes,15.4,yes,,ALCL,,,L,Dom,"TSG, fusion",T,ALK,,,"833,CARS,CARS1,ENSG00000110619.17,P49589"
CASP8,"caspase 8, apoptosis-related cysteine peptidase",841,2:201258036-201287711,1,Yes,33.1,yes,,"hepatocellular, oral squamous cell, breast",,,E,Rec,TSG,"N, S, F",,,,"841,CASP8,Casp-8,ENSG00000064012.21,FLICE,MACH,MCH5,Q14790"
CBFA2T3,"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)",863,16:88874858-88977204,1,Yes,24.3,yes,,AML,,,L,Dom,"TSG, fusion",T,"RUNX1, GLIS2",,,"863,CBFA2T3,ENSG00000129993.14,ETO2,MTG16,MTGR2,O75081,RUNX1T3,ZMYND4"
CBFB,"core-binding factor, beta subunit",865,16:67029245-67101022,1,Yes,22.1,yes,,AML,,,L,Dom,"TSG, fusion",T,MYH11,,,"865,CBFB,ENSG00000067955.13,PEBP2B,Q13951"
CBL,Cas-Br-M (murine) ecotropic retroviral transforming,867,11:119206276-119308149,1,Yes,23.3,yes,,"AML, JMML, MDS",,,L,Dom/Rec,"oncogene, TSG, fusion","T, Mis, S, O",KMT2A,,,"867,CBL,CBL2,ENSG00000110395.6,P22681,RNF55,c-Cbl"
CBLB,Cas-Br-M (murine) ecotropic retroviral transforming sequence b,868,3:105655461-105869043,1,Yes,13.11,yes,,AML,,,L,Rec,TSG,"Mis, S",,,,"868,CBLB,Cbl-b,ENSG00000114423.19,Q13191,RNF56"
CBLC,Cas-Br-M (murine) ecotropic retroviral transforming sequence c,23624,19:44777869-44800634,1,,13.32,yes,,AML,,,L,Rec,"oncogene, TSG",M,,,,"23624,CBL-3,CBL-SL,CBLC,ENSG00000142273.11,Q9ULV8,RNF57"
CCDC6,coiled-coil domain containing 6,8030,10:59788763-59906656,1,Yes,21.2,yes,,"papillary thyroid, CML, NSCLC",,,E,Dom,"TSG, fusion",T,"RET, PDGFRB",,,"8030,CCDC6,D10S170,ENSG00000108091.10,H4,PTC,Q16204,TPC,TST1"
CCNB1IP1,"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase",57820,14:20311368-20333312,1,Yes,11.2,yes,,leiomyoma,,,M,Dom,"TSG, fusion",T,HMGA2,,,"57820,C14orf18,CCNB1IP1,ENSG00000100814.17,HEI10,Q9NPC3"
CCND1,cyclin D1,595,11:69641087-69654474,1,Yes,13.3,yes,,"CLL, B-ALL, breast",,,"L, E",Dom,"oncogene, fusion",T,"IGH, FSTL3",,,"595,BCL1,CCND1,D11S287E,ENSG00000110092.3,P24385,PRAD1,U21B31"
CCND2,cyclin D2,894,12:4273772-4305350,1,Yes,13.32,yes,,"NHL,CLL",,,L,Dom,"oncogene, fusion",T,IGL,,,"894,CCND2,ENSG00000118971.7,P30279"
CCND3,cyclin D3,896,6:41934933-41941848,1,,21.1,yes,,MM,,,L,Dom,"oncogene, fusion",T,IGH,,,"896,CCND3,ENSG00000112576.12,P30281"
CCNE1,cyclin E1,898,19:29811898-29824308,1,Yes,12,yes,,serous ovarian,,,E,Dom,oncogene,A,,,,"898,CCNE,CCNE1,ENSG00000105173.13,P24864"
CD274,CD274 molecule,29126,9:5450525-5470547,1,,24.1,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,"TSG, fusion",T,CIITA,,,"29126,B7-H,B7-H1,B7H1,CD274,ENSG00000120217.13,PD-L1,PDCD1LG1,PDL1,Q9NZQ7"
CD74,"CD74 molecule, major histocompatibility complex, class II invariant chain",972,5:150402152-150412751,1,,33.1,yes,,NSCLC,,,E,Dom,"oncogene, fusion",T,"ROS1, NRG1",,,"972,CD74,DHLAG,ENSG00000019582.14,P04233"
CD79A,"CD79a molecule, immunoglobulin-associated alpha",973,19:41877120-41881372,1,Yes,13.2,yes,,"DLBCL, WM",,,L,Dom,oncogene,S,,yes,Agammaglobulinaemia,"973,CD79A,ENSG00000105369.9,IGA,MB-1,P11912"
CD79B,"CD79b molecule, immunoglobulin-associated beta",974,17:63928740-63932336,1,Yes,23.3,yes,,"DLBCL, WM",,,L,Dom,oncogene,"Mis, S",,yes,Agammaglobulinaemia,"974,B29,CD79B,ENSG00000007312.12,IGB,P40259"
CDC73,cell division cycle 73,79577,1:193122017-193253901,1,Yes,31.2,yes,yes,parathyroid adenoma,"parathyroid adenoma, multiple ossifying jaw fibroma",hyperparathyroidism-jaw tumour syndrome,"E, M",Rec,TSG,"Mis, N, F",,,,"79577,C1orf28,CDC73,ENSG00000134371.11,FIHP,HRPT1,HRPT2,Q6P1J9,parafibromin"
CDH1,"cadherin 1, type 1, E-cadherin (epithelial) (ECAD)",999,16:68737225-68835548,1,Yes,22.1,yes,yes,"lobular breast, gastric",gastric,familial gastric carcinoma,E,Rec,TSG,"Mis, N, F, S",,,,"999,CD324,CDH1,ENSG00000039068.18,P12830,UVO,uvomorulin"
CDH11,"cadherin 11, type 2, OB-cadherin (osteoblast)",1009,16:64943753-65122198,1,Yes,21,yes,,aneurysmal bone cyst,,,M,Dom,"TSG, fusion",T,USP6,,,"1009,CAD11,CDH11,ENSG00000140937.13,OB,P55287"
CDK12,cyclin-dependent kinase 12,51755,17:39462039-39535146,1,Yes,12,yes,,serous ovarian,,,E,Rec,TSG,"Mis, N, F",,,,"51755,CDK12,CRK7,CRKR,CRKRS,ENSG00000167258.13,KIAA0904,Q9NYV4"
CDK4,cyclin-dependent kinase 4,1019,12:57747727-57752521,1,Yes,14.1,,yes,,melanoma,familial malignant melanoma,E,Dom,oncogene,Mis,,,,"1019,CDK4,ENSG00000135446.16,P11802,PSK-J3"
CDK6,cyclin-dependent kinase 6,1021,7:92604921-92833917,1,Yes,21.2,yes,,ALL,,,L,Dom,"oncogene, fusion",T,MLLT10,,,"1021,CDK6,ENSG00000105810.9,PLSTIRE,Q00534"
CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",1027,12:12717124-12722371,1,Yes,13.1,yes,yes,"breast, small intestine neuroendocrine tumours","pituitary, parathyroid",multiple endocrine neoplasia type IV,E,Rec,TSG,F,,,,"1027,CDKN1B,ENSG00000111276.10,KIP1,P27KIP1,P46527"
CDKN2A,cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene,1029,9:21968056-21974866,1,Yes,21.3,yes,yes,"melanoma, multiple other tumour types","melanoma, pancreatic",familial malignant melanoma,"L, E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,"1029,ARF,CDK4I,CDKN2,CDKN2A,CMM2,ENSG00000147889.17,INK4,INK4a,MLM,MTS1,P42771,p14,p14ARF,p16,p16INK4a,p19,p19Arf"
